Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Labels,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Development),Custom field (Issue color),Custom field (Rank),Custom field (Start date),Custom field (Team),Custom field (Vulnerability),Status Category,Status Category Changed
DAT-7: Retention: Payment Records,KAN-205,10416,Bug,To Do,KAN,AuraBeat,software,TALHA NAVEED,712020:3294f30c-b5aa-49b0-8703-b095bf87826c,Your first project,High,,,,TALHA NAVEED,712020:3294f30c-b5aa-49b0-8703-b095bf87826c,TALHA NAVEED,712020:3294f30c-b5aa-49b0-8703-b095bf87826c,26/Feb/26 10:15 AM,26/Feb/26 10:15 AM,26/Feb/26 10:20 AM,,,0,Policy,Payment records retained for 7 years (Regulatory).,,TALHA NAVEED,712020:3294f30c-b5aa-49b0-8703-b095bf87826c,,,,,,,,,,,0|i001bj:,,,,To Do,26/Feb/26 10:15 AM
DAT-6: Retention: Audit Logs,KAN-204,10415,Bug,To Do,KAN,AuraBeat,software,TALHA NAVEED,712020:3294f30c-b5aa-49b0-8703-b095bf87826c,Your first project,Medium,,,,TALHA NAVEED,712020:3294f30c-b5aa-49b0-8703-b095bf87826c,TALHA NAVEED,712020:3294f30c-b5aa-49b0-8703-b095bf87826c,26/Feb/26 10:15 AM,26/Feb/26 10:15 AM,,,,0,Policy,Security audit logs retained for 2 years.,,TALHA NAVEED,712020:3294f30c-b5aa-49b0-8703-b095bf87826c,,,,,,,,,,,0|i001bb:,,,,To Do,26/Feb/26 10:15 AM
DAT-5: Retention: Generation Jobs,KAN-203,10414,Bug,To Do,KAN,AuraBeat,software,TALHA NAVEED,712020:3294f30c-b5aa-49b0-8703-b095bf87826c,Your first project,Low,,,,TALHA NAVEED,712020:3294f30c-b5aa-49b0-8703-b095bf87826c,TALHA NAVEED,712020:3294f30c-b5aa-49b0-8703-b095bf87826c,26/Feb/26 10:15 AM,26/Feb/26 10:15 AM,,,,0,Policy,Job records retained for 90 days after completion.,,TALHA NAVEED,712020:3294f30c-b5aa-49b0-8703-b095bf87826c,,,,,,,,,,,0|i001b3:,,,,To Do,26/Feb/26 10:15 AM
DAT-4: Retention: Deleted Tracks,KAN-202,10413,Bug,To Do,KAN,AuraBeat,software,TALHA NAVEED,712020:3294f30c-b5aa-49b0-8703-b095bf87826c,Your first project,Low,,,,TALHA NAVEED,712020:3294f30c-b5aa-49b0-8703-b095bf87826c,TALHA NAVEED,712020:3294f30c-b5aa-49b0-8703-b095bf87826c,26/Feb/26 10:15 AM,26/Feb/26 10:15 AM,,,,0,Policy,Deleted tracks remain in trash for 30 days.,,TALHA NAVEED,712020:3294f30c-b5aa-49b0-8703-b095bf87826c,,,,,,,,,,,0|i001av:,,,,To Do,26/Feb/26 10:15 AM
DAT-3: Track Duration Logic,KAN-201,10412,Bug,To Do,KAN,AuraBeat,software,TALHA NAVEED,712020:3294f30c-b5aa-49b0-8703-b095bf87826c,Your first project,Medium,,,,TALHA NAVEED,712020:3294f30c-b5aa-49b0-8703-b095bf87826c,TALHA NAVEED,712020:3294f30c-b5aa-49b0-8703-b095bf87826c,26/Feb/26 10:15 AM,26/Feb/26 10:15 AM,,,,0,Data,TRACK.duration max 600 seconds.,,TALHA NAVEED,712020:3294f30c-b5aa-49b0-8703-b095bf87826c,,,,,,,,,,,0|i001an:,,,,To Do,26/Feb/26 10:15 AM
DAT-2: Song Title Char Limit,KAN-200,10411,Bug,To Do,KAN,AuraBeat,software,TALHA NAVEED,712020:3294f30c-b5aa-49b0-8703-b095bf87826c,Your first project,Low,,,,TALHA NAVEED,712020:3294f30c-b5aa-49b0-8703-b095bf87826c,TALHA NAVEED,712020:3294f30c-b5aa-49b0-8703-b095bf87826c,26/Feb/26 10:15 AM,26/Feb/26 10:15 AM,,,,0,Data,TRACK.title max 100 characters.,,TALHA NAVEED,712020:3294f30c-b5aa-49b0-8703-b095bf87826c,,,,,,,,,,,0|i001af:,,,,To Do,26/Feb/26 10:15 AM
DAT-1: Non-negative Gold Balance,KAN-199,10410,Bug,To Do,KAN,AuraBeat,software,TALHA NAVEED,712020:3294f30c-b5aa-49b0-8703-b095bf87826c,Your first project,High,,,,TALHA NAVEED,712020:3294f30c-b5aa-49b0-8703-b095bf87826c,TALHA NAVEED,712020:3294f30c-b5aa-49b0-8703-b095bf87826c,26/Feb/26 10:15 AM,26/Feb/26 10:15 AM,,,,0,Data,"User gold balance must be non-negative integer, default 50.",,TALHA NAVEED,712020:3294f30c-b5aa-49b0-8703-b095bf87826c,,,,,,,,,,,0|i001a7:,,,,To Do,26/Feb/26 10:15 AM
CON-5: WCAG 2.1 Accessibility,KAN-198,10409,Bug,To Do,KAN,AuraBeat,software,TALHA NAVEED,712020:3294f30c-b5aa-49b0-8703-b095bf87826c,Your first project,Medium,,,,TALHA NAVEED,712020:3294f30c-b5aa-49b0-8703-b095bf87826c,TALHA NAVEED,712020:3294f30c-b5aa-49b0-8703-b095bf87826c,26/Feb/26 10:15 AM,26/Feb/26 10:15 AM,,,,0,UI,Must meet WCAG 2.1 AA accessibility standards.,,TALHA NAVEED,712020:3294f30c-b5aa-49b0-8703-b095bf87826c,,,,,,,,,,,0|i0019z:,,,,To Do,26/Feb/26 10:15 AM
CON-4: GDPR/CCPA Compliance,KAN-197,10408,Bug,To Do,KAN,AuraBeat,software,TALHA NAVEED,712020:3294f30c-b5aa-49b0-8703-b095bf87826c,Your first project,High,,,,TALHA NAVEED,712020:3294f30c-b5aa-49b0-8703-b095bf87826c,TALHA NAVEED,712020:3294f30c-b5aa-49b0-8703-b095bf87826c,26/Feb/26 10:15 AM,26/Feb/26 10:15 AM,,,,0,Security,"Must comply with GDPR, CCPA, and data protection regulations.",,TALHA NAVEED,712020:3294f30c-b5aa-49b0-8703-b095bf87826c,,,,,,,,,,,0|i0019r:,,,,To Do,26/Feb/26 10:15 AM
CON-3: Copyright Compliance Filter,KAN-196,10407,Bug,To Do,KAN,AuraBeat,software,TALHA NAVEED,712020:3294f30c-b5aa-49b0-8703-b095bf87826c,Your first project,High,,,,TALHA NAVEED,712020:3294f30c-b5aa-49b0-8703-b095bf87826c,TALHA NAVEED,712020:3294f30c-b5aa-49b0-8703-b095bf87826c,26/Feb/26 10:15 AM,26/Feb/26 10:15 AM,,,,0,Constraints,Generated audio must not infringe on copyrighted material.,,TALHA NAVEED,712020:3294f30c-b5aa-49b0-8703-b095bf87826c,,,,,,,,,,,0|i0019j:,,,,To Do,26/Feb/26 10:15 AM
